Field.Number,Date,Waterbody.Name,Haul1,Haul2,Haul3
2019-RSDPA-080719-001A,8-Jul-19,Gully Creek,0,0,0
2019-RSDPA-080719-002A,8-Jul-19,Gully Creek,0,0,0
2019-RSDPA-090719-001A,9-Jul-19,Gully Creek,2,2,0
2019-RSDPA-090719-002A,9-Jul-19,Gully Creek,0,0,0
2019-RSDPA-090719-003A,9-Jul-19,Gully Creek,3,8,7
2019-RSDPA-100719-001A,10-Jul-19,Gully Creek,1,3,0
2019-RSDPA-100719-002A,10-Jul-19,Gully Creek,0,0,3
2019-RSDPA-120619-001A,12-Jun-19,Gully Creek,0,0,0
2019-RSDPA-120619-002A,12-Jun-19,Gully Creek,0,0,0
2019-RSDPA-250619-001A,25-Jun-19,Gully Creek,0,0,1
2019-RSDPA-250619-002A,25-Jun-19,Gully Creek,3,0,0
2019-RSDPA-250619-003A,25-Jun-19,Gully Creek,1,0,0
2019-RSDPA-260619-001A,26-Jun-19,Gully Creek,0,0,0
2019-RSDPA-260619-002A,26-Jun-19,Gully Creek,0,0,0
2019-RSDPA-260619-003A,26-Jun-19,Gully Creek,0,0,0
2019-RSDPA-260619-004A,26-Jun-19,Gully Creek,1,0,0
2020-RSDPA-010920-001A,1-Sep-20,Unknown Stan J,3,2,0
2020-RSDPA-010920-002A,1-Sep-20,Unknown Stan J,30,46,59
2020-RSDPA-020920-001A,2-Sep-20,Unknown Stan J,9,10,13
2020-RSDPA-020920-002A,2-Sep-20,Unknown Stan J,6,0,0
2020-RSDPA-030920-001A,3-Sep-20,Unknown Stan J,12,22,9
2020-RSDPA-030920-002A,3-Sep-20,Unknown Stan J,29,0,0
2020-RSDPA-030920-003A,3-Sep-20,Unknown Stan J,47,55,4
2020-RSDPA-090920-001A,9-Sep-20,Unknown Stan J,11,4,1
2020-RSDPA-090920-002A,9-Sep-20,Unknown Stan J,11,24,9
2020-RSDPA-180820-001A,18-Aug-20,Gully Creek,0,0,0
2020-RSDPA-180820-002A,18-Aug-20,Gully Creek,0,0,0
2020-RSDPA-190820-001A,19-Aug-20,Gully Creek,4,25,7
2020-RSDPA-190820-002A,19-Aug-20,Gully Creek,0,0,0
2020-RSDPA-200820-001A,20-Aug-20,Gully Creek,0,0,1
2020-RSDPA-200820-002A,20-Aug-20,Gully Creek,1,0,0
2020-RSDPA-200820-003A,20-Aug-20,Gully Creek,0,0,0
2020-RSDPA-240820-001A,24-Aug-20,Gully Creek,0,2,0
2020-RSDPA-250820-001A,25-Aug-20,Gully Creek,0,0,0
2020-RSDPA-250820-002A,25-Aug-20,Gully Creek,13,9,1
2020-RSDPA-250820-003A,25-Aug-20,Gully Creek,3,0,6
2020-RSDPA-260820-001A,26-Aug-20,Gully Creek,2,5,0
2020-RSDPA-260820-002A,26-Aug-20,Gully Creek,0,0,0
2020-RSDPA-260820-003A,26-Aug-20,Gully Creek,0,1,0
2020-RSDPA-270820-001A,27-Aug-20,Gully Creek,0,7,1
2020-RSDPA-270820-002A,27-Aug-20,Gully Creek,42,10,12
2020-RSDPA-310820-001A,31-Aug-20,Gully Creek,0,1,0
2020-RSDPA-310820-002A,31-Aug-20,Gully Creek,0,0,0
