Field_Number,Day,Month,Year,Waterbody,Strahler,OSAP_level,Reach_Length_m,P_Length,HH_mean,Depth_mean,Depth_max,Width_mean,Pool_area,Pool_vol,Wtemp,Woody_Debris,UnderCut.Prop,Rock.Bass,Central.Stoneroller,White.Sucker,Northern.Redbelly.Dace,Redside.Dace,Mottled.Sculpin,Brassy.Minnow,Common.Shiner,Stonecat,Coho.Salmon,Rainbow.Trout.J,Rainbow.Trout.A,Oncorhynchus.sp,Bluntnose.Minnow,Eastern.Blacknose.Dace,Longnose.Dace,Creek.Chub,Nesters,Co.occurring
2019-RSDPA-080719-001A,8,7,2019,Gully Creek,4,REACH,44.42,13.65,2.066666667,0.276416667,0.858,4.013333333,54.782,15.14265783,18.768,0.133,0.333333333,1,0,50,0,0,0,0,0,0,0,0,0,0,0,60,0,145,145,256
2019-RSDPA-080719-002A,8,7,2019,Gully Creek,4,POOL,NA,12.3,0.133333333,0.399333333,0.91,5.554,68.3142,27.2801372,19.225,0.2,0.1,1,1,28,0,0,0,9,0,1,0,1,2,5,0,7,3,53,53,111
2019-RSDPA-090719-001A,9,7,2019,Gully Creek,4,POOL,NA,12.13,0.433333333,0.451333333,1.05,5.162,62.61506,28.26026375,14.88,0.2,0.1,0,0,18,0,13,9,0,0,0,0,1,0,8,0,16,0,41,41,93
2019-RSDPA-090719-002A,9,7,2019,Gully Creek,4,REACH,22.4,7.7,1.68627451,0.238039216,0.77,6.642,51.1434,12.17413482,15.478,0.118,0.2,0,0,15,0,2,5,0,0,0,0,1,0,3,0,174,0,57,57,255
2019-RSDPA-090719-003A,9,7,2019,Gully Creek,4,POOL,NA,33.4,0.266666667,0.423333333,0.73,5.764,192.5176,81.49911733,16.72,0.133,0.1,0,0,65,0,58,35,0,0,0,0,2,0,9,0,125,0,190,190,426
2019-RSDPA-100719-001A,10,7,2019,Gully Creek,4,REACH,41.54,16.75,2.508474576,0.198305085,0.86,4.268333333,71.49458333,14.17773941,15.832,0.136,0.083333333,0,0,18,0,8,3,0,0,0,0,1,0,9,0,32,0,104,104,167
2019-RSDPA-100719-002A,10,7,2019,Gully Creek,4,POOL,NA,12.5,1.285714286,0.295,0.67,7.1,88.75,26.18125,16.613,0.143,0.2,0,0,16,0,9,6,0,0,0,0,1,0,15,0,56,0,63,63,157
2019-RSDPA-120619-001A,12,6,2019,Gully Creek,4,POOL,NA,18.49,0.766666667,0.254866667,0.48,4.714,87.16186,22.21465272,12.89,0,0.1,0,0,0,0,0,2,0,0,0,1,0,0,13,0,35,0,21,21,72
2019-RSDPA-120619-002A,12,6,2019,Gully Creek,4,POOL,NA,11.12,2.1,0.363666667,0.82,4.882,54.28784,19.74267781,14.733,0.167,0.1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,14,1,10,10,33
2019-RSDPA-250619-001A,25,6,2019,Gully Creek,4,POOL,NA,24.35,0.933333333,0.264666667,0.59,3.964,96.5234,25.54652653,15.543,0.033,0,0,0,16,0,2,5,0,0,0,1,0,0,11,0,64,0,88,88,185
2019-RSDPA-250619-002A,25,6,2019,Gully Creek,4,POOL,NA,12.73,0.433333333,0.212666667,0.5,6.596,83.96708,17.85699901,15.746,0.2,0.1,0,0,1,0,4,2,0,0,0,0,1,0,2,0,74,1,66,66,147
2019-RSDPA-250619-003A,25,6,2019,Gully Creek,4,POOL,NA,26.72,1.633333333,0.280333333,0.73,4.426,118.26272,33.15298251,16.407,0.1,0.1,0,0,12,0,1,3,0,0,0,0,1,0,2,0,21,0,72,72,111
2019-RSDPA-260619-001A,26,6,2019,Gully Creek,4,REACH,25.8,10.3,1.893939394,0.250151515,0.9,3.704545455,38.15681818,9.544985882,15.655,0.03,0.045454545,0,0,30,0,0,7,0,0,0,1,0,6,5,0,52,0,30,30,131
2019-RSDPA-260619-002A,26,6,2019,Gully Creek,4,POOL,NA,11.02,2.133333333,0.272,0.65,6.22,68.5444,18.6440768,16.72,0.2,0.2,0,0,6,0,18,2,0,0,0,0,1,0,12,0,44,0,51,51,116
2019-RSDPA-260619-003A,26,6,2019,Gully Creek,4,POOL,NA,18.2,0.566666667,0.301,0.75,3.831666667,69.73633333,20.99063633,18.24,0.1,0.25,0,0,3,0,5,6,0,0,0,0,1,0,2,1,11,0,23,23,47
